0.00 	 2.500000 
0.01 	 2.499699 
0.02 	 2.499401 
0.03 	 2.499105 
0.04 	 2.498812 
0.05 	 2.498522 
0.06 	 2.498234 
0.07 	 2.497948 
0.08 	 2.497665 
0.09 	 2.497385 
0.10 	 2.497107 
0.11 	 2.496831 
0.12 	 2.496558 
0.13 	 2.496287 
0.14 	 2.496019 
0.15 	 2.495753 
0.16 	 2.495489 
0.17 	 2.495228 
0.18 	 2.494969 
0.19 	 2.494712 
0.20 	 2.494458 
0.21 	 2.494205 
0.22 	 2.493955 
0.23 	 2.493708 
0.24 	 2.493462 
0.25 	 2.493219 
0.26 	 2.492977 
0.27 	 2.492738 
0.28 	 2.492501 
0.29 	 2.492266 
0.30 	 2.492034 
0.31 	 2.491803 
0.32 	 2.491574 
0.33 	 2.491348 
0.34 	 2.491123 
0.35 	 2.490901 
0.36 	 2.490680 
0.37 	 2.490462 
0.38 	 2.490245 
0.39 	 2.490031 
0.40 	 2.489818 
0.41 	 2.489607 
0.42 	 2.489399 
0.43 	 2.489192 
0.44 	 2.488986 
0.45 	 2.488783 
0.46 	 2.488582 
0.47 	 2.488382 
0.48 	 2.488185 
0.49 	 2.487989 
0.50 	 2.487794 
0.51 	 2.487602 
0.52 	 2.487411 
0.53 	 2.487222 
0.54 	 2.487035 
0.55 	 2.486850 
0.56 	 2.486666 
0.57 	 2.486484 
0.58 	 2.486303 
0.59 	 2.486125 
0.60 	 2.485947 
0.61 	 2.485772 
0.62 	 2.485598 
0.63 	 2.485426 
0.64 	 2.485255 
0.65 	 2.485086 
0.66 	 2.484918 
0.67 	 2.484752 
0.68 	 2.484587 
0.69 	 2.484424 
0.70 	 2.484263 
0.71 	 2.484103 
0.72 	 2.483944 
0.73 	 2.483787 
0.74 	 2.483632 
0.75 	 2.483477 
0.76 	 2.483325 
0.77 	 2.483173 
0.78 	 2.483023 
0.79 	 2.482875 
0.80 	 2.482727 
0.81 	 2.482582 
0.82 	 2.482437 
0.83 	 2.482294 
0.84 	 2.482152 
0.85 	 2.482012 
0.86 	 2.481872 
0.87 	 2.481735 
0.88 	 2.481598 
0.89 	 2.481463 
0.90 	 2.481328 
0.91 	 2.481196 
0.92 	 2.481064 
0.93 	 2.480934 
0.94 	 2.480805 
0.95 	 2.480677 
0.96 	 2.480550 
0.97 	 2.480424 
0.98 	 2.480300 
0.99 	 2.480177 
1.00 	 2.480055 
1.01 	 2.479934 
1.02 	 2.479814 
1.03 	 2.479695 
1.04 	 2.479578 
1.05 	 2.479461 
1.06 	 2.479346 
1.07 	 2.479232 
1.08 	 2.479119 
1.09 	 2.479007 
1.10 	 2.478896 
1.11 	 2.478786 
1.12 	 2.478677 
1.13 	 2.478569 
1.14 	 2.478462 
1.15 	 2.478356 
1.16 	 2.478251 
1.17 	 2.478147 
1.18 	 2.478044 
